Costume collections from the Royal Pavilion and Museums, Brighton & Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
"CTLOA000081,Costume,Dress,,John Galliano,c1994,,,,,Wool,,""This is a black wool crˆpe evening dress designed by John Galliano and worn by the Countess of Albemarle. The dress is closely fitted to the body with an inner silk satin corset. It has a boat neck";" a calf length skirt and two sculptured and pointed pieces of fabric on either hip, which resemble _wings_. The short sleeves are open on the underside and echo the outward point of the hips. The tailoring of this dress evokes the film noir genre of the 1940s and 1950s."",dmas_ctloa000081_d01_cc1024.jpg";;;;;;;
"CTLOA000089,Costume,Dress,,Jillian Carrozza,2005,,,,,Wool and velvet,,""This is a hand-knitted black wool dress. The dress has a fitted bodice with a straight neckline and narrow shoulder straps. The full, knee-length skirt is constructed from triangular shaped panels which give the dress movement. The neckline and hem are trimmed with velvet, fringed ribbon. The dress has a separate velvet ribbon belt.  ";;;;;;;;
"This dress was made by Jillian Carrozza for her degree show in 2005."",dmas_ctloa000089_d01_cc1024.jpg";;;;;;;;
CTLOA000090,Costume,Dress,,Ossie Clark,1970,,,,,Wool;" Satin,,""This is a black evening dress made of wool crˆpe trimmed with red satin ribbon. The dress is full length and bias cut, softly shaped to flatter the figure. Its long sleeves are cut out at each shoulder and edged with a large frill. ";;;;;;;
Ossie Clark designed this dress in London in 1970. Its simple, flowing lines were his trademark style. Ossie Clarke dressed the famous and fashionable of London in the mid 1960s-mid 1970s. Many women aspired to wearing his clothes;" this dress was worn by Margaret Bishop, who recalls that wearing the dress _transported her to another world._"",dmas_ctloa000090_d01_cc1024.jpg";;;;;;;
"CTMAS000024,Costume,Child's Suit,,Unrecorded,c1741-1745,,,,,Silk,,""This is a brown and cream silk brocade boy_s suit made in circa 1741-1745.   ";;;;;;;;
The suit consists of a jacket, waistcoat and breeches. The jacket is collarless with long sleeves and buttoned cuffs, the waistcoat fastens up the front with small buttons while the breeches have button fastenings, holes for additional lace fastenings, buttons below the knee, and pockets with flaps. The whole outfit is hand stitched and made of the same brown silk, which has a design of small cream flowers. The silk was produced in either France or England.;;;;;;;;
"Boys wore dresses until the age of 4-5 years when they were 'breeched', and given their first set of adult clothes. This expensive suit is a copy of the formal outfits worn by gentlemen in the 18th century and would have been worn by a child from a wealthy family."",dmas_ctmas000024_d01_cc1024.jpg";;;;;;;;
"CTMAS000025,Costume,Dress,,Hawkes,c1880,,,,,Silk and lace,,""This is a dress: bodice, plastron front and skirt made by Mrs Hawkes in Brighton around 1880.";;;;;;;;
The dress is a burgundy colour, which is created by the combination of red and black silk. The bodice has a collar with a button fastening down the front with white lace peeping out of the ends of the sleeves and a tightly fitted waist. Worn underneath the bodice is a plastron front that covers the chest area that would be left exposed by the bodice. The bodice has bone inside that ends in a v shape at the waist, from that is an extra piece of material that it is pulled up and out at either side to reveal the skirt underneath. The skirt underneath is floor length with thick strips of bunched material attached running around the skirt. The outfit would have been worn with a corset and a bustle underneath the skirt.;;;;;;;;
This dress was made by Mrs Hawkes, who lived at No 2 St. James Street in Brighton, and was listed as a dressmaker in The Trades Directory from 1867 until 1877. ;;;;;;;;
"This dress with its layers of ruffled material, its defined shape and style would have been considered the height of fashion in Victorian times. The dress was worn by Mary Eliza Gibbons, who was married to George Henry Catt (nephew of Henry Willett who founded the Willett Collection at Brighton Museum). They lived in Lindfield, and the dress was donated by her granddaughter."",dmas_ctmas000025_d01_cc1024.jpg";;;;;;;;
CTMAS000033,Costume,Suit,,Plaza; Arrow; Wild Bill; Topper,1979,,,,,Synthetic; Cotton; Leather; Metal;" Canvas,,""This is the outfit worn by Brian Ferry - lead singer of Roxy Music - in his 1980 pop video _Same Old Scene_. The suit was made by Plaza in London"; designed by Antony Price, the shirt was made by Arrow, the tie was made by Wild Bill and the boots were made by Topper, all around 1979. 
This suit is bright lime green with a long sleeved jacket without cuffs, with two pockets at hip level with a button fastening at the front, with a matching pair of trousers.  Underneath the jacket is a white, long sleeved cotton shirt with a breast pocket worn with a straight cut thin black leather tie. The outfit finishes with thin pointed ankle boots, made from black leather, with a zip fastening. ;;;;;;;;
This is an example of Brian Ferry_s unique style from 1975 to 1980;" his look was influenced by 1940_s American style but his clothes were much tighter and made in much brighter colours."",dmas_ctmas000033_d01_cc1024.jpg";;;;;;;
"CTMAS000034,Costume,Outfit,,Martin Kidman,2001,,,,,Wool,,""This is an outfit designed by Martin Kidman in Brighton in 2001. It consists of a jumper, tank top, skirt and scarf.  The outfit is made from multicoloured knitted wool.  The long sleeved, polo necked jumper has horizontal stripes in pink, blue, white, orange and yellow. It is worn underneath a fringed tank top with a large paisley style design on the front. The long skirt is pleated and decorated with bands of multicoloured zigzags.  A long zigzag striped scarf completes the look.  ";;;;;;;;
"This colourful outfit is an example of Martin Kidman_s striking knitwear for which he is famous. Martin Kidman studied fashion at Brighton Polytechnic (now Brighton University) and at St. Martin's College of Art. After his 1985 graduation collection he was invited to design for Joseph. He went on to start his own fashion label in 1993."",dmas_ctmas000034_d01_cc1024.jpg";;;;;;;;
CTMAS000035,Costume,Bikini,,Mambo,2000,,,,,Polyelastane;" Plastic,,""This is a bikini designed by Mambo of Australia in 2000. ";;;;;;;
The bikini top and bottoms are made of white polyelastane printed with a large design of turquoise, pink, and light blue flowers. The bikini top is strapless and is gathered and twisted at the centre front of the bust.  The bikini bottoms are high legged. ;;;;;;;;
"The large print and colours of the bikini make this a typical Mambo design for a British market. Mambo was founded in Australia by Dare Jennings in 1984, and they are known for their bright, patterned beach and surf clothes. There are now Mambo shops worldwide, with a licensed chain in Britain, including a shop in Brighton."",dmas_ctmas000035_d01_cc1024.jpg";;;;;;;;
"CTMAS000036,Costume,Child's Outfit,,Cat & Mouse,2001,,,,,Cotton,,""This is a blue child_s outfit made by Cat & Mouse in Sydney Street, Brighton in 2001. ";;;;;;;;
The outfit consists of a loose fitting jacket, pullover and trousers made from soft jersey cotton. The long sleeved, hooded jacket and matching trousers have a horizontal striped pattern. The long sleeved pullover worn underneath the jacket is plain dark blue. The bold colours, pattern and layered design of this outfit make it suitable for both sexes.;;;;;;;;
 ;;;;;;;;
"This outfit is an example of modern day children_s clothing that is fun and comfortable."",dmas_ctmas000036_d01_cc1024.jpg";;;;;;;;
CTMAS000037,Costume,Suit,,Biba,c1970,,,,,Wool;" Plastic,,""This is a black and beige checked suit designed by Biba in London in circa 1970.  The suit consists of a coat and skirt made of a wool mix. The coat has a large, high, black fake fur collar and large fake fur cuffs. It is fitted with a nipped in waist and exaggerated, puffed shoulders.  The skirt is flared and to just below knee length. The design of this suit is typical of Biba's retro-glamour style"; inspired by the fashions of the 1920s and 1930s.  ;;;;;;
"The Biba label was founded by Barbara Hulanicki, who studied at Brighton College of Art. The first Biba store opened in London in 1963.  In 1966 a branch was opened on Queen_s Road in Brighton. This was the only Biba store outside of London."",dmas_ctmas000037_d01_cc1024.jpg";;;;;;;;
CTMAS000038,Costume,Outfit,,Zandra Rhodes,1979,,,,,Silk; Rayon;" Satin,,""This is a Zandra Rhodes evening dress: bodice, skirt, and underskirt, made in London in 1979.    The bodice, which is made from light cream satin, is screen printed (by hand) with a pattern called _Chinese Squares_. It has a plunging v shaped neckline with sections cut out of the shoulders. The sleeves, which are three-quarter length, are made from three-square layers of sequined material, which have been sown together. The corners of each piece of material hang down with pearls. The skirt is floor length, also in sheer cream organza decorated with the _Chinese Squares_. It is a wrap over skirt fastening at the waist with a thick cream acetate waistband, worn over a satin cream underskirt.  The dress was inspired by Rhodes_ trip to China in 1979"; the printed _Chinese Squares_ are based on Chinese trellis and fretwork while the pagoda shaped sleeves finish the look.  This outfit is an example of Zandra Rhodes striking eveningwear. Zandra Rhodes studied at the Royal College of Art where she focused on textile design;" however her designs were too outrageous for most traditional British manufacturers so she opened her own outlet on Fulham Road in London in 1969."",dmas_ctmas000038_d01_cc1024.jpg";;;;
"CTMAS000040,Costume,Outfit,,Issey Miyake,2001,,,,,textile polyester,,""This is a grey polyester outfit: jacket, dress and trousers made by Issey Miyake in 2001.   ";;;;;;;;
The sleeveless grey dress, which is vertically pleated, is worn over the top of a long sleeved top, which has loose billowing sleeves, worn underneath is a pair of loose fitting trousers, which are diagonally pleated.   Issey Miyake set up his own label in 1970. He combines modern textiles, such as polyester (which he often develops himself) with a traditional Japanese technique of pleating seen on hakama (a form of trouser traditionally worn at court).  Miyake's clothes are machine washable, lightweight (allowing freedom of movement) and permanently pleated. ;;;;;;;;
"Pleats move and change form with the wearer_s body movements. As the pleats move they change colours, giving an optical illusion like a kaleidoscope.""""  Issey Miyake."",dmas_ctmas000040_d01_cc1024.jpg";;;;;;;;
CTMAS000041,Costume,Outfit,,Shirin Guild,2001,,,,,Linen;" Bamboo,,""This is a cream linen outfit: abba coat, jumper and trousers, made in Montrose Place London in 2000, by Shirin Guild. ";;;;;;;
This outfit, which is designed for women, is based on traditional men_s wear from Iran. The abba coat is large with wide sleeves with material crossing over and fastening at the front. Worn underneath is a darker cream, jumper made from bamboo yarn, with baggy elasticated trousers with wide, straight cut legs. ;;;;;;;;
"Shirin Guild launched her own label in London in 1991. Her outfits, which are loose fitting and simple, are inspired by the men_s wear from her native Iran.  Using yarns made from paper, hemp, bamboo and steel covered with silk, Shirin Guild reworks traditional male Iranian dress for the modern day woman."",dmas_ctmas000041_d01g_cc1024.jpg";;;;;;;;
CTMAS000042,Costume,Outfit,,Raag,2000,,,,,Cotton; Silk;" Velvet,,""This is a complete outfit: coat, scarf, blouse and trousers made in Ahmedabad, India in 2000 by Asha Sarabhai.   ";;;;;;
The cotton coat (choga), which is hand stitched; quilted and dyed is reversible. It is red on the outside with white dotted tie-dyed silk on the inside. The blouse is made from cream, natural unbleached silk, hand-spun and hand-woven, sleeveless with a round neck. The three quarter length trousers (lengha), which are made from black silk, are baggy with a drawstring waist. The red hand dyed scarf (bandhani) has the same pattern of white dots as the inside of the coat completing the look.  This choga (coat) can be worn by either sex and is entirely handstitched. The silk has been tie-dyed using a technique known as bandhani. The quilting on the coat is known as kabira, which originally referred to the stitching together of old fabrics to make coverings. Asha Sarabhai designs this coat in many fabrics, but has chosen velvet for this one as she feels it suits the English climate.  ;;;;;;;
"Asha Sarabhai set up her studio workshop _Raag_ in Ahmedabad in 1975 creating clothes using traditional techniques. This outfit is based on traditional clothing worn Khatrie Muslins in Kutch, India. It was designed by Asha Sarabhai and made by local craftspeople working for Raag."",dmas_ctmas000042_d01_cc1024.jpg";;;;;;;;
CTMAS000043,Costume,Ceremonial Costume,,Unrecorded,1821; Regency,,,,,Satin; Leather;" Silk,,""This is a complete outfit: coat, jacket, breeches, belt, stockings and shoes, made in 1821 worn by a canopy bearer at the coronation of George IV.";;;;;
The bodice, which is worn over the coat, is made from red satin with a high collar edged in gold braid with short puffed sleeves with a slash effect, which reveals the blue material underneath. The knee length coat also has a high collar but is made from blue satin with a red satin lining, hand-stitched with long detachable sleeves (also with the slash effect). The coat is fitted into and flaring out from the waist. The knee length breeches are made from red satin also slashed to reveal a layer of blue satin. They are decorated with gold braid around the bottom of the leg, fastening with blue satin buttons. Worn over the top is a black velvet belt that would hold the canopy bearer_s sword. Red silk stockings keep the legs warm while a pair of white leather shoes (partly lined in red silk) with a flat red leather heel decorated with a large gold and red rosette finish the outfit.;;;;;;;;
The makers mark inside reads 10: Charing Cross: London: Country dealers supplied on low terms.;;;;;;;;
"This outfit was worn by Thomas Davies Lamb: Baron of the _Cinque Ports_. The Cinque Ports were towns that mended and looked after the Crown_s ships - making sure they were ready for action if there was any trouble. The barons held powerful positions because they were in charge of the ports. One of the baron_s duties for the Crown was to be a canopy bearer: the person who carried a canopy over a monarch in their coronation. The canopy used for George IV_s coronation was heavy and difficult to carry. George walked in front of it as he was worried it would fall on his head, a canopy has not been used in a coronation procession since!"",dmas_ctmas000043_d01_cc1024.jpg";;;;;;;;
CTMAS000044,Costume,Ceremonial Outfit,,Unrecorded,1821; Regency,,,,,Silk; Cotton; Metal;" Satin,,""This is a complete outfit: dress, under dress, and flowers worn at the coronation of George IV in 1821.";;;;
This dress is made from cream silk. It has a round neck with detachable collar and long sleeves, which are bunched at the shoulder, fitted down the arm trimmed with see through lace at the cuff. The dress is fitted just below the bust from where it falls loosely to the floor; with the hem edged in lace frill and flowers. Worn underneath is a slightly shorter under dress that is clearly seen through the dress. A large garland of artificial flowers is worn over the shoulder cutting diagonally across the chest to below the waist. ;;;;;;;
"This dress was worn by Ann Sarah Walker.  Ann, who was 17 at the time, was one of six girls who attended the King_s Herb woman. Their role was to lead the coronation procession to Westminster Abbey throwing herbs and flowers onto the floor as they went: the flowers to make the air sweet, the herbs to protect the King from disease."",dmas_ctmas000044_d01_cc1024.jpg";;;;;;;;
"CTMAS000048,Costume,Pyjamas,,Unrecorded,c1920,,,,,Silk satin,,""This is a blue satin pyjama outfit: vest, jacket and trousers made in circa 1920.   ";;;;;;;;
The sleeveless vest is edged in white piping. It has two heart shaped patch pockets and is embroidered around the neckline with two white silk Chinese dragons. There are belt loops on either side of the vest. The belt is missing. ;;;;;;;;
The jacket is also edged in white piping and is embroidered near each cuff with a white Chinese sun. It has a Chinese dragon embroidered in white silk on each front corner. On the back is embroidered a large sun and a dragon. The jacket fastens with one button and a loop. ;;;;;;;;
The trousers have an elasticated waist with a v shaped panel below just below the waistband. The legs are wide cut and flaring with four long light cream satin triangular inserts embroidered with Chinese dragons in purple silk. The hem is edged in blue satin and white satin piping.;;;;;;;;
During the 1920_s oriental styled clothing was fashionable. Chinese dragons and flowers were in keeping with the Art Deco movement of that time. The Chinese dragons on these pyjamas may be shen-lung, a controller of the weather.  Pyjamas became fashionable in the mid-1920s, replacing the tea gown as informal wear;" they were also one of the earliest acceptable forms of fashionable trousers for women. By the 1930s beach pyjamas were popular and more daring women had begun to wear trousers in the evening. The term pyjama comes from the Persian pa˜ meaning 'foot' and jama meaning 'clothing'."",dmas_ctmas000048_d01_cc1024.jpg";;;;;;;
CTMAS000050,Costume,Pair of Boots,,John Lobb,Late 20th Century,,,,,Leather; Wood;" Brass,,""This is a pair of black and brown leather boots made by John Lobb of St James_ Street, London during the late 20th century.   The boots are ankle length and fasten at the side with five small buttons.  They have been kept with their original shoetree.  A shoetree is a piece of wood sculpted to fit the boot so it keeps its shape when not being worn. ";;;;;;
The designer of these boots, John Lobb, was founded in London in 1849.  The company supplied footwear to the English royal family, aristocracy and nobility. In 1901 they opened a branch in Paris and from the 1920_s supplied an American market. Their shoes are constructed from at least eight pieces, and can take up to six months to make. ;;;;;;;;
"The boots originally belonged to Mr Brown (c1905-1997) a playwright who lived in Hove. Mr Brown was a well-dressed man who took excellent care of his clothes."",dmas_ctmas000050_d01_cc1024.jpg";;;;;;;;
CTMAS000052,Costume,Dress,,Unrecorded,c1824;" Regency,,,,Indian,Muslin,,""This is a hand stitched white muslin dress (and under dress) made in India or England between 1818 and 1821.  ";;;;;;;
"This dress has a neckline trimmed with lace, short puffed sleeves and a full length skirt, with the front decorated with lace and white embroidery. The inder dress is made from white cotton with drawstring fastenings at the neck and waist.  Embroidered white muslin dresses such as this one were fashionable in the early 1800_s. Fine muslins, or mulls, were produced in Bengal, India and imported into Britain by the East India companies. By the end of the 18th century Britain_s textile industry had improved so that raw cotton (imported from India and America) was woven in the mills of northern England. This dress would have been worn with a coloured Indian (or imitation) shawl, contrasting with the plain white of the dress."",dmas_ctmas000052_d01_cc1024.jpg";;;;;;;;
"CTMAS000111,Costume,Day Dress,,Unrecorded,c1885,,,,,Velvet and silk,,""This day dress was worn by Marion Sambourne once her period of mourning for her father who died in 1884 had finished. The dress is made up of a dark green silk velvet bodice and a green silk skirt brocaded with large spots. The cuirasse bodice is cut in panels from shoulder to hip, with a prominent bustle and a wide train at the back. It has spotted green silk facings and trims and a high standing collar.  The full-length sleeves have a double frill at the cuffs.  The skirt is pleated at the front from hip to hem, with a green silk velvet border beneath.  This sombre but fashionably styled outfit would have been worn for formal afternoon occasions.  The designer of the dress is unknown.  It dates from circa 1885.   ";;;;;;;;
"This dress is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ctmas000111_d01_cc1024.jpg";;;;;;;;
CTTMP000658,Costume,Brighton & Hove Albion Football Shirt,,,1999,,,,,,,Blue and white stripped Brighton and Hove Albion football shirt. The shirt was used during the 1999-2000 season. It was also used during 2000 as part of the 2000-2001 season. The club changed shirts in 2001 when they issued a special kit to mark their centenary.,dmas_cttmp000658_d01_cc1024.jpg;;;;;;;;
